route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Bareilly to Dehradun
From INR 511",https://www.redbus.in/bus-tickets/bareilly-to-dehradun,UPSRTC - RKD0039,Janrath AC Seater 2+2,21:00,08h 00m,05:00,814,3.7,36 Seats available
"Bareilly to Dehradun
From INR 511",https://www.redbus.in/bus-tickets/bareilly-to-dehradun,UPSRTC - VKS0001,Janrath AC Seater 2+2,22:05,07h 10m,05:15,830,3.4,32 Seats available
"Allahabad to Azamgarh
From INR 246",https://www.redbus.in/bus-tickets/allahabad-to-azamgarh,UPSRTC - BTR0023,Ordinary Non AC Seater 2+3,19:00,06h 17m,01:17,258,3.3,52 Seats available
"Allahabad to Azamgarh
From INR 246",https://www.redbus.in/bus-tickets/allahabad-to-azamgarh,Rai Tour and Travels,AC Seater (2+2),14:20,05h 10m,19:30,349,4.4,30 Seats available
"Kanpur (Uttar Pradesh) to Bareilly
From INR 389",https://www.redbus.in/bus-tickets/kanpur-to-bareilly,Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:30,08h 20m,03:50,799,3.7,12 Seats available
"Kanpur (Uttar Pradesh) to Bareilly
From INR 389",https://www.redbus.in/bus-tickets/kanpur-to-bareilly,Samay Shatabdi Travels Pvt Ltd,AC Sleeper (2+1),21:01,06h 45m,03:46,699,4.5,12 Seats available
"Kanpur (Uttar Pradesh) to Bareilly
From INR 389",https://www.redbus.in/bus-tickets/kanpur-to-bareilly,Mahalaxmi Travels,A/C Sleeper (2+1),19:30,08h 50m,04:20,999,3.8,28 Seats available
"Lucknow to Ayodhya
From INR 195",https://www.redbus.in/bus-tickets/lucknow-to-ayodhya,Samay Shatabdi Travels Pvt Ltd,NON A/C Sleeper (2+1),23:45,02h 45m,02:30,450,3.9,29 Seats available
"Lucknow to Ayodhya
From INR 195",https://www.redbus.in/bus-tickets/lucknow-to-ayodhya,Shatabdi Travels Gorakhpur,AC Sleeper (2+1),23:46,03h 45m,03:31,600,4.1,28 Seats available
"Lucknow to Ayodhya
From INR 195",https://www.redbus.in/bus-tickets/lucknow-to-ayodhya,SHRINET TOUR AND TRAVELS,A/C Seater (2+2),12:30,02h 40m,15:10,550,2.7,20 Seats available
"Lucknow to Ayodhya
From INR 195",https://www.redbus.in/bus-tickets/lucknow-to-ayodhya,Indian Auto Wheels,AC Seater (2+3),12:45,04h 25m,17:10,450,1.4,45 Seats available
"Lucknow to Ayodhya
From INR 195",https://www.redbus.in/bus-tickets/lucknow-to-ayodhya,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 Seats available
"Aligarh (uttar pradesh) to Lucknow
From INR 571",https://www.redbus.in/bus-tickets/aligarh-to-lucknow,Raaj Rath Travels Co.,A/C Seater / Sleeper (2+1),22:15,07h 00m,05:15,4000,3.5,34 Seats available
"Aligarh (uttar pradesh) to Agra
From INR 136",https://www.redbus.in/bus-tickets/aligarh-to-agra,UPSRTC - BDV0079,Janrath AC Seater 2+2,16:59,02h 11m,19:10,215,3.3,36 Seats available
"Aligarh (uttar pradesh) to Agra
From INR 136",https://www.redbus.in/bus-tickets/aligarh-to-agra,UPSRTC - HTR0132,Ordinary Non AC Seater 2+3,19:00,03h 00m,22:00,140,3.3,52 Seats available
"Aligarh (uttar pradesh) to Agra
From INR 136",https://www.redbus.in/bus-tickets/aligarh-to-agra,UPSRTC - AWD0199,Pink Express AC Seater 2+2,20:02,01h 58m,22:00,215,4.4,41 Seats available
"Aligarh (uttar pradesh) to Agra
From INR 136",https://www.redbus.in/bus-tickets/aligarh-to-agra,UPSRTC - BDV0077,Janrath AC Seater 2+2,21:20,02h 10m,23:30,215,3.3,35 Seats available
"Lucknow to Kanpur (Uttar Pradesh)
From INR 142",https://www.redbus.in/bus-tickets/lucknow-to-kanpur,RSRTC - 193674,Express Non AC Seater 2+3,19:40,02h 20m,22:00,130,3.7,42 Seats available
"Lucknow to Kanpur (Uttar Pradesh)
From INR 142",https://www.redbus.in/bus-tickets/lucknow-to-kanpur,Jai Shrinath Ji Ki ® Travels,Bharat Benz A/C Sleeper (2+1),18:30,02h 35m,21:05,647.62,4.5,24 Seats available
"Lucknow to Kanpur (Uttar Pradesh)
From INR 142",https://www.redbus.in/bus-tickets/lucknow-to-kanpur,Babu Travels,NON A/C Seater / Sleeper (3+1),18:45,02h 30m,21:15,650,4.0,26 Seats available
"Lucknow to Kanpur (Uttar Pradesh)
From INR 142",https://www.redbus.in/bus-tickets/lucknow-to-kanpur,BTS Bundelkhand Transport Services LLP,Non A/C Seater / Sleeper (2+1),21:45,02h 10m,23:55,200,4.3,36 Seats available
"Lucknow to Kanpur (Uttar Pradesh)
From INR 142",https://www.redbus.in/bus-tickets/lucknow-to-kanpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29 Seats available
"Delhi to Etah (Uttar Pradesh)
From INR 305",https://www.redbus.in/bus-tickets/delhi-to-etah-up,Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),22:00,05h 30m,03:30,670,2.6,51 Seats available
"Delhi to Etah (Uttar Pradesh)
From INR 305",https://www.redbus.in/bus-tickets/delhi-to-etah-up,Chaturvedi Bus Service,NON AC Seater / Sleeper 2+1,21:00,05h 30m,02:30,670,2.6,45 Seats available
"Delhi to Etah (Uttar Pradesh)
From INR 305",https://www.redbus.in/bus-tickets/delhi-to-etah-up,Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),19:30,08h 30m,04:00,520,2.6,51 Seats available
"Delhi to Etah (Uttar Pradesh)
From INR 305",https://www.redbus.in/bus-tickets/delhi-to-etah-up,Chaturvedi Bus Service,A/C Seater / Sleeper (2+1),20:40,07h 20m,04:00,570,2.6,46 Seats available
"Delhi to Kotdwar (Uttarakhand)
From INR 320",https://www.redbus.in/bus-tickets/delhi-to-kotdwar,ROYAL SAFARI INDIA TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),22:30,06h 30m,05:00,699,2.4,35 Seats available
"Allahabad to Varanasi
From INR 200",https://www.redbus.in/bus-tickets/allahabad-to-varanasi,UPSRTC - KDN0027,Janrath AC Seater 2+2,17:30,03h 00m,20:30,296,4.7,30 Seats available
"Allahabad to Varanasi
From INR 200",https://www.redbus.in/bus-tickets/allahabad-to-varanasi,Vidhan Tour Travels,Non AC Seater (2+2),13:30,03h 00m,16:30,4000,1.1,20 Seats available
"Allahabad to Varanasi
From INR 200",https://www.redbus.in/bus-tickets/allahabad-to-varanasi,Vidhan Tour Travels,Non AC Seater (2+2),14:00,03h 00m,17:00,4000,2.1,20 Seats available
"Allahabad to Varanasi
From INR 200",https://www.redbus.in/bus-tickets/allahabad-to-varanasi,Vanshika Tour and Travels,NON A/C Seater (2+2),17:40,03h 50m,21:30,200,N/A,43 Seats available
"Allahabad to Varanasi
From INR 200",https://www.redbus.in/bus-tickets/allahabad-to-varanasi,Siddharth Holidays,AC Seater (2+2),18:05,02h 25m,20:30,500,1.7,22 Seats available
"Delhi to Moradabad
From INR 274",https://www.redbus.in/bus-tickets/delhi-to-moradabad,Fasttrack Travels,A/C Seater/Sleeper (2+1),21:30,04h 45m,02:15,674,4.7,48 Seats available
"Delhi to Moradabad
From INR 274",https://www.redbus.in/bus-tickets/delhi-to-moradabad,R S YADAV SMART BUS PRIVATE LIMITED,A/C Seater / Sleeper (2+1),22:00,04h 25m,02:25,499,4.4,37 Seats available
"Delhi to Moradabad
From INR 274",https://www.redbus.in/bus-tickets/delhi-to-moradabad,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,04h 00m,02:15,799,4.4,33 Seats available
"Delhi to Moradabad
From INR 274",https://www.redbus.in/bus-tickets/delhi-to-moradabad,International Tourist Centre,VE A/C Seater / Sleeper (2+1),22:15,04h 25m,02:40,699,4.8,35 Seats available
"Delhi to Moradabad
From INR 274",https://www.redbus.in/bus-tickets/delhi-to-moradabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39 Seats available
"Varanasi to Allahabad
From INR 200",https://www.redbus.in/bus-tickets/varanasi-to-allahabad,FlixBus,A/C Sleeper (2+1),19:30,02h 30m,22:00,204,3.9,22 Seats available
"Varanasi to Allahabad
From INR 200",https://www.redbus.in/bus-tickets/varanasi-to-allahabad,Mishra Travels,NON A/C Seater (2+2),13:30,03h 30m,17:00,220,N/A,25 Seats available
"Varanasi to Allahabad
From INR 200",https://www.redbus.in/bus-tickets/varanasi-to-allahabad,Comfort Tour and Travels,NON A/C Seater Push Back (2+2),15:00,03h 00m,18:00,499,2.2,26 Seats available
